onset	duration	stim_file	stim_file_index
  0.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	1
  1.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	2
  2.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	3
  3.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	4
  4.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	5
  5.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	6
  6.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	7
  7.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	8
  8.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	9
  9.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	10
 10.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	11
 11.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	12
 12.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	13
 13.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	14
 14.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	15
 15.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	16
 16.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	17
 17.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	18
 18.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	19
 19.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	20
 20.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	21
 21.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	22
 22.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	23
 23.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	24
 24.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	25
 25.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	26
 26.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	27
 27.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	28
 28.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	29
 29.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	30
 30.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	31
 31.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	32
 32.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	33
 33.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	34
 34.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	35
 35.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	36
 36.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	37
 37.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	38
 38.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	39
 39.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	40
 40.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	41
 41.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	42
 42.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	43
 43.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	44
 44.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	45
 45.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	46
 46.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	47
 47.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	48
 48.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	49
 49.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	50
 50.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	51
 51.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	52
 52.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	53
 53.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	54
 54.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	55
 55.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	56
 56.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	57
 57.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	58
 58.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	59
 59.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	60
 60.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	61
 61.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	62
 62.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	63
 63.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	64
 64.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	65
 65.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	66
 66.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	67
 67.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	68
 68.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	69
 69.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	70
 70.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	71
 71.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	72
 72.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	73
 73.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	74
 74.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	75
 75.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	76
 76.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	77
 77.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	78
 78.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	79
 79.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	80
 80.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	81
 81.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	82
 82.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	83
 83.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	84
 84.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	85
 85.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	86
 86.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	87
 87.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	88
 88.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	89
 89.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	90
 90.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	91
 91.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	92
 92.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	93
 93.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	94
 94.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	95
 95.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	96
 96.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	97
 97.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	98
 98.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	99
 99.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	100
100.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	101
101.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	102
102.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	103
103.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	104
104.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	105
105.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	106
106.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	107
107.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	108
108.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	109
109.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	110
110.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	111
111.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	112
112.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	113
113.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	114
114.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	115
115.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	116
116.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	117
117.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	118
118.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	119
119.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	120
120.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	121
121.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	122
122.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	123
123.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	124
124.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	125
125.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	126
126.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	127
127.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	128
128.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	129
129.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	130
130.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	131
131.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	132
132.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	133
133.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	134
134.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	135
135.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	136
136.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	137
137.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	138
138.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	139
139.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	140
140.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	141
141.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	142
142.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	143
143.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	144
144.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	145
145.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	146
146.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	147
147.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	148
148.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	149
149.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	150
150.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	151
151.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	152
152.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	153
153.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	154
154.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	155
155.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	156
156.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	157
157.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	158
158.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	159
159.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	160
160.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	161
161.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	162
162.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	163
163.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	164
164.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	165
165.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	166
166.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	167
167.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	168
168.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	169
169.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	170
170.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	171
171.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	172
172.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	173
173.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	174
174.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	175
175.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	176
176.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	177
177.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	178
178.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	179
179.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	180
180.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	181
181.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	182
182.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	183
183.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	184
184.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	185
185.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	186
186.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	187
187.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	188
188.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	189
189.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	190
190.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	191
191.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	192
192.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	193
193.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	194
194.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	195
195.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	196
196.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	197
197.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	198
198.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	199
199.000	  1.000	sub-001_ses-20200320_task-prf_apertures.nii.gz	200
